Page,MANUFACTURER_AND_DISTRIBUTOR,Date_Released,Date_Available,NAME_OF_DEVICE,DESCRIPTION,MATERIALS,GENERAL_USE,SPECIFIC_INDICATIONS,SPECIFIC_FEATURES,SIZES_AVAILABLE,INSTRUMENTATION,SPECIAL_REMARKS,REFERENCES_,SPECIAL_FEATURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,ZIMMER,,1995,NexGen Knee Solution,A modular cruciate retaining knee system,"Cobalt chrome (Zimaloy) alloy, PMMA, titanium alloy, UHMWPE",Cementable and cementless applications,,,Eight femoral sizes in rights and lefts with AP dimensions of 44.5 to 76.0 mm  Nine tibial tray sizes with AP dimensions of 40 to 53 mm,Special instrumentation Available,Tibial trays accept modular full 7° and half 16° and 26° wedges,,"Cobalt chrome femoral components and titanium tibial components Available in three fixation choices; porous beaded, pre-coat and uncoated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,ZIMMER,1995,,NexGen Stem Extensions,,Titanium alloy,Optional stem augmentation to basic tibial base plate,,,"Twenty different sizes with diameters from 10-24 mm and two lengths, 100 mm and 155 mm",,,,"Threaded male attachment, straight and offset designs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,ZIMMER,,,|B II CCK Femoral,Femoral interface provides for AP and ML instability,Cobalt chrome (Zimaloy) alloy,AP and varus-valgus instability of knee,,,"Femoral components are rights and lefts in five sizes with AP dimensions of 54, 59, 63.9, 68.9 and 73.8 mm",Special instrumentation Available,"Fluted stem extensions Available in three diameters of 11, 13 and 15 mm and single 150 mm length",,Provides for attachment of various modular stem lengths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,ZIMMER,,,IB II CCK Articular Surface,,UHMWPE,Use with IB II CCK femoral implant only,,,"Six different thicknesses of 10, 12, 15, 18, 21 and 25 mm",,,,Provides for AP and ML instability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,ZIMMER,,,IB II Posterior Stabilized,Symmetrical femoral PS sacrificing implants Modular tibial component,Cobalt chrome (Zimaloy) alloy (femoral) Titanium alloy (tibial base plate),Total knee arthroplasty,Requires sacrifice of posterior cruciate ligament,,"Three femoral sizes with AP dimensions of 54, 59 and 63.9 mm   Five tibial base plates with AP dimensions of 54, 59, 64, 69 and 74 mm",Special instrumentation Available,"Accepts modular poly inserts of 8, 10, 12, 15, 18, 21 and 25 mm thicknesses   All-poly tibial components also Available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,ZIMMER,,,IB II Tibial Augment Block,,Titanium alloy,Corrects for loss of proximal tibial bone,,,10-mm thickness,,,,Attaches to base plate by two screws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,ZIMMER,,,IB II CCK Femoral Augment Block,,Titanium,Allows for replacement of distal and posterior condylar bone,,,"Distal wedges Available in four sizes of 5, 10, 15 and 20 mm thickness Posterior wedge only 5 mm thick",Special instrumentation Available        re I  1 8 . oN °,,,Requires 5-mm or 10-mm screws for fixation to femoral component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,ZIMMER,,,MG II Total Knee System,Cruciate retaining total knee system,Cobalt chrome (Zimaloy) alloy (femoral)  Titanium alloy (femoral and tibial components)   PMMA (pre-coat option),Cruciate retaining total knee arthroplasty,,,"Right and left femorals in eight sizes with AP dimensions of 47, 51, 55, 59, 63, 67, 72 and 77 mm  Eight tibial tray sizes with AP dimensions of 40 to 57 mm",Special instrumentation Available,All tibial base plates will accept modular stem extensions   Tibial base plate design options include screw fixation/cruciate stem,,"Femoral components Available with  porous, fibermesh or pre-coat surfaces  Modular tibial UHMWPE inserts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,ZIMMER,,,MG II All-Poly Tibial,,UHMWPE,Cement fixation,,,"Four different thicknesses of 9, 11, 13, 15 mm with four different AP widths of 42, 46, 50 and 54 mm",,,,"Three interface designs flat, AP lip and AC tibial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,ZIMMER,,,"MG II Augment Tibial Plate, Block",,Titanium alloy. Titanium fiber mesh,Corrects for unilateral plateau bone loss,,,Single 12-mm thickness to block,Special cutting block Available,,,Right and left design. Accepts modular stems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,BIOMET,,,Bi-Angular®/Bi-Polar,Modular prosthetic system for total or hemiarthroplasty of the shoulder,"Titanium or cobalt chromium humeral stem Cobalt chromium humeral head  Cobalt chromium, titanium and UHMWPE (Arcom®) bi-polar head",Primary  Revision  Trauma,,,6 primary stem sizes 3 revision stem sizes 2 glenoid options  6 head sizes 12 bi-polar head options,"Yes, resect-ream-trial",,,Unique bi-polar head design Collarless humeral stem with fins  Unique medial hole for version control  Keel at 45° angle on glenoids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,BIOMET,,,Atlas® Shoulder System,Tri-modular prosthetic system for total or hemiarthroplasty of the shoulder,Cobalt chromium proximal body and distal stem  Cobalt chromium humeral head  UHMWPE glenoid component   UHMWPE and cobalt chromium modular glenoid option,Primary  Revision  Trauma  Oncology  Salvage,,,5 proximal body sizes  6 distal stem diameters  5 distal stem lengths  7 head heights  5 glenoid options,"Yes, resect-ream-trial",,,"3 piece modular design (head, proximal body, distal stem)  Cylindrical stem with 4 proximal fins  Both porous coated and non-coated options  Stems fluted distally  Part of Integrated Shoulder System??
187,BIOMET,,,Neer II??Shoulder System,Fixed head prosthetic system for total or hemiarthroplasty of the shoulder,Cobalt chromium humeral stem  UHMWPE glenoid components   UHMWPE and cobalt chromium modular glenoid option,Primary Revision Trauma,,,3 stem diameters  4 stem lengths   5 head heights   5 glenoids options,Yes"," resect-ream-trial""",,,Cylindrical stem design with 4 proximal fins Stems are fluted distally Part of Integrated Shoulder System??188,BIOMET,,,Modular II-C??Shoulder System,"©   Modular prosthetic system for total or  2, hemiarthroplasty of the shoulder ??,Cobalt chromium humeral stem Cobalt chromium humeral head  UHMWPE glenoid component  UHMWPE and cobalt chromium modular glenoid option,Primary  Revision Trauma,,,7 stem diameters  7 head heights  5 glenoids options,Yes"," resect-ream-trial""",,,Cylindrical stem design with 4 proximal fins and proximal porous coating  Stems are fluted distally   Low profile morse taper and cylindrical proximal collar   Part of Integrated Shoulder System??189,BIOMET,,,Kirschner II-C??Shoulder System,Fixed head prosthetic system for total or hemiarthroplasty of the shoulder,Cobalt chromium humeral stem Cobalt chromium humeral head UHMWPE glenoid component  UHMWPE and cobalt chromium modular glenoid option,Primary Revision Trauma,,,3 stem diameters  2 stem lengths 2 head heights 5 glenoids options,"Yes, resect-ream-trial",,,Cylindrical stem design with 4 proximal fins and proximal porous coating Stems are fluted distally Part of Integrated Shoulder System??190,BIOMET,,,Bio-Modular® Total Shoulder System,Modular prosthetic system for total or hemiarthroplasty of the shoulder,Titanium humeral stem  Cobalt chromium humeral head  UHMWPE (ArCom®) glenoid component UHMWPE and titanium modular glenoid option,Primary Revision  Trauma,,,"9 primary stem sizes  14 revision stem sizes  13 head sizes  10 glenoids options (9 all poly, 1 modular)","Yes, resect-ream-broach-trial",,,Humeral stems have reverse morse taper Proximal plasma spray coating and lateral fin   Incorporates non-conforming gleno-humeral articulation
191,BIOMET,,,Proximal Humeral Replacement System,Modular prosthetic system for total or hemiarthroplasty of the shoulder,Titanium humeral stem  Cobalt chromium humeral head,Salvage  Revision  Oncology Trauma,,,Tri-modular system with  6 head sizes  2 proximal body sizes 20 distal stem sizes,"Yes, resect-ream-trial",,,Tri-modular system with the versatility to provide patient matched sizes in cases of severe proximal humeral bone loss  Bio-Modular® or Bi-Angular® glenoid components can be utilized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,DEPUY,1991,,Global??Total Shoulder Arthroplasty System,Designed to equip the surgeon to restore function to the damaged glenohumeral joint surface. Its design is based on detailed investigation of the structure and mechanics of the normal glenohumeral joint as well as the unique challenges of reconstructing the diverse forms of pathology encountered in this articulation,Humeral head cobalt chrome alloy  Humeral body titanium alloy  Glenoids Hylamer??UHMWPE,Total and hemi shoulder arthroplasty,"Acute trauma resulting in 3 or 4 parts displaced fracture   Articular surface impression fractures greater than 50%   Disabling pain unresponsive to conservative treatment due to osteoarthritis, vascular necrosis, post-traumatic arthritis, rheumatoid arthritis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,Humeral head 19 humeral head options Available Five diameters Four head heights and neck lengths Reversed morse taper locking mechanism for enhanced surgical exposure   Glenoid Six glenoid sizes to choose from to satisfy anatomic needs worldwide. Offered in keel and patented five pegged design  Humeral body Features a fluted stem and finned body in 12 sizes ranging from 6mm to 20mm Is Available in 4 long stems (220mm) for use in patients with compromised bone stock,"Modular humeral broach/trials offer expanded surgical latitude  Precise spherical reamers prepare the glenoid fossa for an intimate fit, prosthesis to bone   A comprehensively illustrated surgical technique and video tapes along with a complete instrumentation set help guide to surgeon through this technically demanding procedure with reproducible results","Designed in conjunction with Charles A. Rockwood, M.D. and Frederick A. Matsen, III, M.D.  Wide range of specialized surgeon training - videos, learning centers, written surgical techniques. Related shoulder products such as Patient Rehab Kit and O.R. Prep Pack","Iannotti, J.P, Gabriel, J.P. Schneck, S.L., Evans, B.G. and Misra, S The Normal Glenohumeral Relationships, Journal of Bone and Joint Surgery, Vol. 74-A No. 4, pp. 491-500, April, 1992.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"SMITH & NEPHEW, INC.",1997,,Cofield Total Shoulder,,Cobalt chrome alloy  Polyethylene ??EtO sterilized,Intended for cemented application,,,"Humeral component 115, 145, 195, 245mm length 6, 8, 10, 12, 14, 16mm diameter Humeral heads Primary 14, 16, 18, 20, 22, 24, 26, 28mm height 36, 38, 40, 42, 44, 46, 48, 50mm diameter Unipolar heads 32, 36mm height 54, 58mm diameter Glenoid component Small, medium and large",Yes,,,Humeral components Conically shaped proximal section with porous coating; stem with cement grooves; cylindrical; lateral and medial suture sites   Humeral heads Radial mismatch on primary heads when used with all-poly glenoids; 2mm; 3 head extraction slots; recessed groove to allow the head to seat over the humeral stem collar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,ZIMMER,,,Fenlin Total Shoulder oy LOE a vag pe FA,ERE Fn ra        Modular humeral design with metal-backed scapular components,Cobalt chrome (Zimaloy) alloy humeral stems Titanium head prosthesis UHMWPE scapula prosthesis,Total or endoprosthetic shoulder arthroplasty,,,"Three humeral stem diameters of 7, 10, 13 mm with two stem lengths of 130, 160 mm   One humeral head radius of 26 mm with three heights of 26, 32, 38 mm",Special instrumentation Available,,,Modular humeral head design facilitates sizing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,DEPUY,1983,,ERS,,Cobalt chrome alloy  UHMWPE bearings,Primary total elbow arthroplasty,,,"Humeral Universal standard and large Left - standard and large Right - standard and large Radial Universal Bearings - 8, 10, 12, 14mm Ulnar Left and right Bearings - 10, 12, 14, left and right",Patented intermedullary instruments,,"Pritchard, R.W., Anatomic Surface Elbow Arthroplasty. Clinical Orthopaedics and Related Research, Vol. 179 pp. 223-230, October 1983.",Tricompartmental elbow  Snapfit interchangeable bearings Ligament tension balancing Custom fit valgus angle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,DEPUY,1979,,Mark II Elbow,,Cobalt chrome alloy stems UHMWPE bushing,Total elbow arthroplasty,,,4 complete elbows Small and standard Left and rights   3 separate humeral rev. stems 3 separate ulnar rev. stems,Rasps and trials Available,,"Pritchard, R.W., Semiconstrained Elbow Prosthesis. Orthopaedic Review, Vol. 3 No. 5, pp. 33-43, May 1979.  Pritchard, R.W., Total Elbow Joint Arthroplasty in Patients with Rheumatoid Arthritis. Seminars in Arthritis and Rheumatism, Vol. 21 No. 1, pp. 24-29, August 1991.",5-7° medial/lateral laxity 5° rotational laxity  Primary and revision Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,HOWMEDICA INC.,,,Souter® Strathclyde Elbow,Total elbow prosthesis Available with both an unlinked and linked levels of constraint design,Vitallium® alloy. Standard UHMWPE,Patients where total elbow replacement is required,Rheumatoid and posttraumatic arthritis  Cemented use,Closely follows anatomical contours of trochlea of the humerus and trochlear notch of the ulna. Unique method of cement fixation in both humerus and ulna,Humeral component 3 sizes of lefts and rights with optional long stems and augments   Ulnar component 2 sizes of lefts and rights  All humeral and ulnar components are interchangeable,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,ZIMMER,,,Coonrad/Morrey Elbow Prosthesis,A modular axel hinged total elbow design,Titanium alloy. UHMWPE bushing,Total elbow replacement semi-constrained,,,"Three humeral stem lengths of 4, 6 and 8 inches  Right and left ulnar stems of 3, 3.5 and 4.5 inches",Special instrumentation Available,,,Modular humeral and ulnar components articulated by axel with UHMWPE bushing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,DEPUY, November 1997,,NeuFlex??MCP Finger Joint Implant,,Anasil ??silicone,Primary MCP Arthroplasty,,,"7 sizes 0, 10, 20, 30, 40, 50, 60","Proximal and Distal Broaches Color coded Dual action tooth pattern with stop flange Ergonomically designed for surgical ease of use  Matching Trials Color coded Full range of sizex  Rasp/Awl Combination Tool Designed to save O.R. time   Single, Lightweight Sterilization Case Color coded Utility bin area included     photo not provided",,,Simple preformed 30° anatomically neutral angle   Reduces strain by 30-35 percent Utilizes Gas Plasma Sterilization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,DEPUY,1978,,Biax??Total Wrist with Porocoat??,Cobalt chrome alloy  Compression molded UHMWPE,Primary wrist arthroplasty Cemented application,,,"Primary - small, medium, large  Rev. - long metacarpal comp.",Metacarpal and Radial Rasps,,"Cobb, TK., Biaxial Total Wrist Arthroplasty. Operative Techniques in Orthopaedics, Vol. 6 No. 2, pp. 77-82, April 1996.","Anatomical center of rotation Volar flexion = 50-70""  Radial deviation = 20-45""  Dorsal flexion = 50-70""  Ulnar deviation = 20-45""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,DEPUY, Formal 1998; Custom 1984,,Agility Ankle,,Titanium alloy tibial component with porous coating   Cobalt chrome alloy talar components with porous coating,Total ankle arthroplasty,,,6 sizes left and right,Alignment guide and cutting block  Enhanced surgical procedure,,"Alvine, EG., Total Ankle Arthroplasty Concepts and Approach. Contemporary Orthopaedics, Vol. 22 No. 4, pp. 387-403, April 1991.",Wider tibial and talus coverage along with partial coverage of fibula. Can be used as an alternative to ankle fusions   Fusion of syndesmosis helps in strengthening joint after replacement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,DEPUY, 1974; Discontinued 1998,,Mayo Ankle,,Cobalt chrome alloy - talar UHMWPE - tibial,Total ankle arthroplasty,,,2 sizes,Simple rasp and spacer,,"Kitaoka, H.B., Survivorship Analysis of the Mayo Ankle Arthroplasty. JBJS, Vol. 76-A No. 7, pp. 974-979, July 1994.","Designed to allow for 30° range of motion, 15° of flexion, 15° of extension sufficient for normal gait",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,," January, 1982",Captured Hip Screw System,Impaction modular hip screw system,Titanium alloy Ti-6Al-4V with tiodization process T-Max,Fixation for fractures of the proximal femur,"Femoral neck, intertrocanteric and subtrochanteric fractures   Proximal femoral osteotomies",Captured lag screw with modular side plate reduces inventory,"135° - 150° barrel angles, 2-14 holes side plates  70-160mm lag screw length",Specialized instrumentation for decreased O.R. time with unitized insertion,1 captured lag screw assembly replaces 7 traditional lag screws  Increased MRI compatibility over stainless,"Kyle, R., et. al. Fractures of the Proximal Part of the Femur, Journal of Bone and Joint Surgery, Vol. 76-A pp. 924-950, June, 1994.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,,," July, 1996",A.R.T.??(ACE Retrograde Trauma) Femoral Nail System,Retrograde femoral interlocking nail for reamed or unreamed indications,Ti-6Al1-4V/TiMAX??Treatment of fractures of the femur,"Multiple trauma patients with femoral shaft fractures  Obese patients with femoral shaft fractures  Ipsilateral hip shaft fractures  Supracondylar fractures including those with severe *xtra-articular c6mminution and/or intra-articular involvement, osteoporosis, non-union, mal-unions, pathologic fractures and those proximal to a total knee prosthesis",Instrumented dynamic distal slot allows for 5mm of dynamization  Instrumented lateral-to-medial or medial-to-lateral distal locking with two 6.5mm solid cortical or cancellous lag screws  Anterior/posterior proximal holes simplify screw insertion  Universal lefts or rights for reduced inventory,"Diameter - 9mm, 10mm, 11mm, 12mm  Length ??30cm - 48cm in 2cm increments",Specific instrumentation Available  Slot targeting sheath guarantees either static or dynamic locking based on surgeon preference,State-of-the-art technique that can result in reduced O.R. time and blood loss   Manufactured with TIMAX?? a titanium alloy and proprietary surface anodize treatment for improved fatigue strength,"Moed, Berton R., M.D. and Watson, J. Tracy, M.D. Retrograde Intramedullary Nailing, without Reaming of Fractures of the Femoral Shaft in Multiply Injured Patients, Journal of Bone and Joint Surgery, Vol. 77-A No. 10, 1995.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,,1991,ALLM.® (ACE Intramedullary) Titanium Femoral Nail System,Femoral interlocking nail for reamed or unreamed indications,Ti-6Al-4V/TiMAX??Treatment of fractures of the femur,Subtrochanteric fractures with or without involvement of the lesser trochanter  Ipsilateral femoral neck and shaft fractures  Severely c6mminuted shaft fractures extending beyond the isthmus Femur reconstruction following tumor resection  Leg length discrepancies secondary to femoral inequality Subisthmal fractures of the femur Stable femoral fractures without necessity for interlocking,"Antegrade or reconstructive proximal locking in one nail  Universal lefts or rights for reduced inventory   6.5mm solid cortical bone screws; proximal antegrade locking in all diameters, also for distal locking in 13mm-15mm diameters   4.5mm solid cortical bone screws; distal locking in 9mm-12mm diameters  6.5mm solid cancellous lag screw for reconstructive locking","Diameter ??9mm, 10mm; length ??30cm - 50cm in 2cm increments Diameter ??11mm; length ??32cm - 50cm in 2cm increments  Diameter ??12mm; length ??34cm - 50cm in 2cm increments  Diameter ??13mm-15mm; length ??36cm - 46cm in 2cm increments",Specific instrumentation Available,Manufactured with TIMAX?? a titanium alloy and proprietary surface anodize treatment for improved fatigue strength,"Kropfl, Albert, M.D. Unreamed Intramedullary Nailing of Femoral Fractures, Journal of Trauma Injury, Infection and Critical Care, Vol. 38 No. 5, 1995.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,," February, 1997",SelectLock,Compression hip screw system,"22135 stainless steel, nitrogen enhanced (22cr-13ni-5mm)",#NAME?,"Femoral neck, intertrocanteric Proximal femoral osteotomies","Keyed and keyless lag screws, barrel plate has staggered 4.5 holes with keyways every 90°","130° - 150° barrel plates, 2-14 holes plate length 55-130mm length lag screw; regular and super thread diameters.",Specialized instrumentation for decreased O.R. time.,"Versatile, low profile system, offered sterile","Kyle, R., et. al. Fractures of the Proximal Part of the Femur, Journal of Bone and Joint Surgery, Vol. 76-A No. 6, pp. 924-950, June 1994.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,BIOMET, Late 1980s,,Uniflex® Family Nail System,,Titanium alloy,Promote fracture healing,,,Uniflex femoral nail Length 32-48cm (2 cm increments) Diameter 10-16mm  Uniflex tibial nail Length 24-42cm (2 cm increments) Diameter 8-14mm  Uniflex humeral nail Length 18-28cm (2 cm increments) Diameter 8-9mm,"Precise, reproducible   One thread size for all nails simplifies instrumentation",,,Uniflex femoral nail Used reamed or non-reamed Fully-slotted Two proximal holes at 125° and anteverted 9° Two transverse screw holes provide for distal locking Uniflex tibial nail Inserted reamed or unreamed Pathfinder tip with 10° proximal bend Uniflex humeral nail Used reamed or unreamed Pathfinder tip with 5° proximal bend Two A/P and two M/L proximal screws and two distal locking screws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,HOWMEDICA INC.,, 1989 (U.S. Introduction),Gamma® Locking Nail System,"A family of intramedullary devices for the treatment \ of hip fractures and complex proximal femoral shaft fo B\ Ws fractures, with the benefits of a closed IM nailing rs A technique. e Le",| Orthinox® ??an ultra-high strength stainless steel alloy,Hip fractures and complex proximal femoral shaft fractures,"Gamma locking nail Intertrochanteric fractures Pertrochanteric fractures High subtrochanteric fractures   Long gamma locking nail Unstable intertrochanteric fractures Unstable pertrochanteric fractures Subtrochanteric fractures Ipsilateral hip/femoral shaft fractures Pathologic and impending pathologic fractures Proximal or distal non-unions and mal-unions, revision procedures","Closed technique with immediate weight bearing as tolerated  Patented, slotted design of lag screw and set screw controls rotation and allows lag screw to  slide in one direction only","Nail Diameters of 11mm, 12mm and 14mm; angles include 125°, 130°, and 135° Nails 200-420mm in length  Lag Screw 12mm thread diameter, in lengths ranging from 80mm to 130mm","Instrumentation features a fully radiolucent, carbon fiber, targeting device for lag screw placement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,HOWMEDICA INC.,, 1990 (U.S. Introduction),Seidel??Humeral Locking Nail System,A humeral cross-locking nail with proximal cross- locking screws and distal IDL (Internal Distal Locking) fixation to ensure stability,Stainless steel } |,Humeral fracture fixation,"il  Unstable shaft fractures, non-unions, segmental | fractures, bilateral fractures, pathological fractures HE and ipsilateral fractures",| | | Traditional Kiintscher cloverleaf design; IDL (| (Internal Distal Locking) mechanism to eliminate  the need for distal targeting,9mm diameter nail in lengths ranging from 180mm to 320mm,A comprehensive set of award winning IM nail Il | instruments complete with state-of-the-art storage and sterilization cases iL,Unique IDL distal locking design eliminates problems of distal screw targeting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,HOWMEDICA INC.,,,Alta® IM Rods,"Alta offers three styles of IM rods for fracture fixation femoral IM rod,  CEX femoral reconstruction rod and the tibial/humeral rod",Titanium alloy,Femoral IM rod for fractures of the femur   CFX femoral reconstruction rod for complex femoral fractures  Tibial/humeral rod for fractures of the tibia and humerus,Femoral IM rod  1. All femoral fractures from the lesser trochanter to the lateral epicondyle  2. Pathological fractures  3. Non-unions  4. Osteotomies   CFX femoral reconstruction rod 1. Stable and unstable subtrochanteric fractures 2. Pathological disease and fractures 3. Ipsilateral intertrochanteric/shaft fractures 4. Severely c6mminuted shaft fractures  Tibial/humeral rod  1. Tibial fractures occurring 7cm distal to the knee joint and 7cm proximal to the ankle joint  2. Humeral fractures occurring 3cm  below the surgical neck to 5cm above  the distal end of the medullary cavity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,"Patented six-point contact cross-sectional design enhances rotational stability and revascularization   One-piece, closed-section design increases rod strength and torsional stability  Fully threaded proximal and distal cross-locking","CFX 11mm, 13mm, and 15mm diameters, ranging in length from 300mm to 480mm in 20 mm increments  Tibial/humeral solid rods in 6mm, 7mm, 8.25mm and 9mm diameters Cannulated rods in 10mm-14mm diameters. Smaller diameter rods are as short as 180mm; larger diameter rods are up to 420mm in length  Femoral IM diameters of 9mm- 16mm. Lengths range from 300mm to 480mm","The Alta instrumentation set features a comprehensive set of IM rod instruments including specialty instruments enhancing the nailing technique. A special color-coded, numeric storage case and instrumentation system provides a simple way to organize, present and maintain all of the necessary instruments, thereby greatly facilitating ease-of-use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,HOWMEDICA INC.,,1982,Grosse & Kempf® Intramedullary Nailing System,"One-piece, slotted and non-slotted cloverleaf femoral and tibial IM nails with fully threaded screws (1998) and partially threaded transverse screws (pre-1998) for femoral applications and for non-reamed use",316 LVM stainless steel,Reamed and non-reamed femoral and tibial applications,Femoral nails treat fractures from lcm distal to the lesser trochanter to 10cm proximal of the knee joint   Tibial nails treat fractures from 2cm below the tuberosity to 6cm proximal of the ankle joint,One-piece 316 LVM stainless steel construction with 1.5mm wall thickness,Femoral locking nails lefts and rights in 10-11mm (non-slotted) and 12-16mm (slotted) diameters with lengths ranging from 26cm to 48cm   Tibial locking nails 9-10mm (non-slotted) and 11-15mm (slotted) diameters with lengths ranging from 24cm to 42cm,A comprehensive set of award winning IM nail instruments complete with state-of-the-art storage and sterilization cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,HOWMEDICA INC.,,,Alta® Large and Small Plating Modules,"Alta Large Plating Module consists of distal fracture plates to fit the contours of the lateral femoral condyles, and channel plates, which can be used independently or in conjunction with angled or distal fracture plates  Alta Small Plating Module consists of pre-contoured metaphyseal plates and diaphyseal plates that are contourable in three planes",Titanium alloy,Fracture fixation,"Distal fracture plates c6mminuted femoral condylar fractures and selected femoral supracondylar fractures  Channel plates fractures where an IM rod cannot be used; fractures where precise anatomical reconstruction is necessary; and, selected open fractures  Metaphyseal plates proximal and distal tibial shaft fractures Diaphyseal plates tibial shaft fractures, upper extremity fractures and pelvic fractures","Titanium alloy construction provides strength and flexibility, as well as excellent biocompatibility","Distal fracture plates left and right 6-hole plates, 113mm in length   Channel plates 4-hole plate, 102mm length; 6-hole plate, 151mm length; 8-hole plate, 196mm  Metaphyseal plates ?�U???�L?? and ?�T??shape pre-contoured plates  Diaphyseal plates straight 4-hole, 72mm; straight 5-hole with dovetail, 89mm; and straight 6-hole, 110mm",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,HOWMEDICA INC.,," Original Asnis, 1981; Asnis II, 1990",Asnis II® Guided Screw System,Cannulated screws for fracture fixation,Stainless steel,Fracture fixation,"4.5mm and 5.0mm small diameter screws are indicated for fractures of the wrist, ankle, shoulder, pelvis, elbow, foot and condyles of long bones. 6.5mm large diameter screws provide fixation for femoral head and neck fractures and slipped capital femoral epiphyses",Self-cutting and self-tapping,6.5mm large diameter screws in lengths from 35mm to 130mm 4.5mm diameter fully threaded cortical screws in lengths from 20mm to 70mm   5.0mm diameter partially threaded cancellous screws in lengths from 24mm to 70mm,Yes,"WARNING Bone screws referenced in this material are not approved for screw attachment or fixation to the posterior elements (pedicles) of the cervical, thoracic or lumbar spine  =  =","S  Asnis, S.E. Intracapsular Fractures of the Femoral Neck, The Journal of Bone and Joint = Surgery, Vol. 76 pp. 1793-1802, December, 1994.  218",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,HOWMEDICA INC.,,,Universal Compression Screw,Screw within a screw for controlled compression of fractures,Stainless steel,Fracture fixation,"Fracture fixation of the small bones of the hand and foot, long bones and condyles",Provides greater compression than standard lag screw techniques. Freedom to select appropriate length preoperatively. Refinement of compression intraoperatively,3.5mm thread diameter cortical lengths from 20mm to 60mm  3.5mm thread diameter - short thread - cortical lengths from 20mm to 40mm  4.5mm thread diameter cancellous lengths 30mm to 60mm  6.5mm thread diameter cancellous lengths 30mm to 80mm,Yes,"WARNING Bone screws referenced in this material are not approved for screw attachment or fixation to the posterior *lements (pedicles) of the cervical, thoracic or lumbar spine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
